text,label
Today I am feeling playful.,amused
My mood is light-hearted.,amused
I'm so irate right now.,angry
Today I am feeling exhausted.,sleepy
My mood is fun.,amused
This makes me knackered.,sleepy
Today I am feeling cross.,angry
I feel very consistent.,neutral
Today I am feeling disgusting.,disgusted
I can't stop feeling cross.,angry
My mood is laughing.,amused
Today I am feeling carefree.,amused
I'm so joke right now.,amused
My mood is vile.,disgusted
I can't stop feeling rage.,angry
That was really annoyed!,angry
This makes me resentful.,angry
I'm so ordinary right now.,neutral
That was really seething!,angry
I can't stop feeling pooped.,sleepy
I can't stop feeling hilarious.,amused
I'm so neutral right now.,neutral
My mood is furious.,angry
I can't stop feeling antagonistic.,angry
Everything feels smiling.,amused
I'm so unpleasant right now.,disgusted
I feel very provoked.,angry
I can't stop feeling bushed.,sleepy
This makes me disgusting.,disgusted
My mood is comic.,amused
I can't stop feeling rest.,sleepy
I'm so aggressive right now.,angry
My mood is incensed.,angry
I'm so humorous right now.,amused
My mood is nap.,sleepy
This makes me gross.,disgusted
Today I am feeling angry.,angry
My mood is delighted.,amused
That was really appalled!,disgusted
My mood is pleased.,amused
Everything feels same.,neutral
I'm so indifferent right now.,neutral
This makes me offensive.,disgusted
That was really typical!,neutral
This makes me entertaining.,amused
This makes me sleepy.,sleepy
I can't stop feeling mediocre.,neutral
Today I am feeling napping.,sleepy
I'm so repellent right now.,disgusted
I'm so resentful right now.,angry
I'm so sleep right now.,sleepy
Everything feels irate.,angry
My mood is fuming.,angry
That was really repellent!,disgusted
Everything feels sleepy.,sleepy
Today I am feeling bitter.,angry
Everything feels moderate.,neutral
I feel very repulsed.,disgusted
I feel very indignant.,angry
I can't stop feeling repulsed.,disgusted
I can't stop feeling irritated.,angry
Today I am feeling enjoying.,amused
My mood is sickened.,disgusted
I feel very livid.,angry
I can't stop feeling content.,amused
Today I am feeling sickened.,disgusted
My mood is consistent.,neutral
My mood is weary.,sleepy
My mood is tired.,sleepy
That was really chuckling!,amused
I feel very usual.,neutral
That was really playful!,amused
Everything feels upset.,angry
I'm so yawning right now.,sleepy
I feel very distasteful.,disgusted
Today I am feeling revolting.,disgusted
This makes me nap.,sleepy
I'm so giddy right now.,amused
Everything feels beat.,sleepy
That was really worn out!,sleepy
My mood is comic.,amused
Everything feels furious.,angry
Today I am feeling entertaining.,amused
I can't stop feeling playful.,amused
My mood is funny.,amused
My mood is repulsed.,disgusted
Everything feels nauseated.,disgusted
I'm so distasteful right now.,disgusted
I feel very antagonistic.,angry
I feel very lethargic.,sleepy
I'm so indifferent right now.,neutral
Today I am feeling witty.,amused
Today I am feeling sleepless.,sleepy
Everything feels standard.,neutral
I feel very humorous.,amused
This makes me zonked.,sleepy
My mood is upset.,angry
I'm so nauseated right now.,disgusted
My mood is gross.,disgusted
Everything feels exhausted.,sleepy
My mood is enraged.,angry
I can't stop feeling exhausted.,sleepy
This makes me stable.,neutral
